Date,Distance,Aggregated Distance
9/22/2013,10000,10000
9/24/2013,5000,15000
9/26/2013,7500,22500
9/27/2013,3200,25700
9/29/2013,13000,38700
9/29/2013,8000,46700
10/1/2013,10000,56700
10/3/2013,6700,63400
10/4/2013,3500,66900
10/8/2013,4800,71700
10/12/2013,8000,79700
10/12/2013,4000,83700
10/16/2013,7200,90900
10/17/2013,15000,105900
10/19/2013,7200,113100
10/22/2013,7500,120600
10/23/2013,16000,136600
10/26/2013,7000,143600
10/27/2013,21000,164600
11/3/2013,4500,169100
11/5/2013,7000,176100
11/6/2013,4500,180600
11/7/2013,4500,185100
11/9/2013,10000,195100
11/10/2013,11000,206100
11/11/2013,5500,211600
11/12/2013,10000,221600
11/13/2013,5000,226600
11/14/2013,10000,236600
11/15/2013,5000,241600
11/16/2013,5500,247100
11/17/2013,10000,257100
11/19/2013,10000,267100
11/20/2013,5500,272600
11/22/2013,10000,282600
11/25/2013,13360,295960
12/2/2013,5000,300960
12/3/2013,10000,310960
12/4/2013,5920,316880
12/6/2013,10400,327280
12/8/2013,5328,332608
12/17/2013,5776,338384
12/18/2013,3520,341904
12/20/2013,10448,352352
12/21/2013,10023,362375
12/31/2013,5184,367559
1/2/2014,10976,378535
1/3/2014,5952,384487
1/5/2014,10432,394919
1/7/2014,5264,400183
1/10/2014,10560,410743
1/11/2014,5696,416439
1/12/2014,10080,426519
1/13/2014,5441,431960
1/15/2014,7776,439736
1/17/2014,6160,445896
1/19/2014,12890,458786
1/19/2014,16576,475362
1/21/2014,10416,485778
1/22/2014,10496,496274
1/23/2014,5328,501602
1/26/2014,20160,521762
2/1/2014,5328,527090
2/2/2014,5392,532482
2/9/2014,10672,543154